,file,resp_id_old,subset_old,Slide13 Current2_RT,Slide13 Current2_AOISelected,Slide13 Current2_AOIAccuracy,Slide13 Current2_FixationCount,Slide22 Item1_RT,Slide22 Item1_AOISelected,Slide22 Item1_AOIAccuracy,Slide22 Item1_FixationCount,Slide24 Item2_RT,Slide24 Item2_AOISelected,Slide24 Item2_AOIAccuracy,Slide24 Item2_FixationCount,Slide26 Item3_RT,Slide26 Item3_AOISelected,Slide26 Item3_AOIAccuracy,Slide26 Item3_FixationCount,Slide28 Item4_RT,Slide28 Item4_AOISelected,Slide28 Item4_AOIAccuracy,Slide28 Item4_FixationCount,Slide30 Item5_RT,Slide30 Item5_AOISelected,Slide30 Item5_AOIAccuracy,Slide30 Item5_FixationCount,Slide8 Current1_RT,Slide8 Current1_AOISelected,Slide8 Current1_AOIAccuracy,Slide8 Current1_FixationCount,Slide13 NewF2_RT,Slide13 NewF2_AOISelected,Slide13 NewF2_AOIAccuracy,Slide13 NewF2_FixationCount,Slide8 NewF1_RT,Slide8 NewF1_AOISelected,Slide8 NewF1_AOIAccuracy,Slide8 NewF1_FixationCount,Slide13 NewU2_RT,Slide13 NewU2_AOISelected,Slide13 NewU2_AOIAccuracy,Slide13 NewU2_FixationCount,Slide8 NewU1_RT,Slide8 NewU1_AOISelected,Slide8 NewU1_AOIAccuracy,Slide8 NewU1_FixationCount
79,013_Resp_062.csv,62,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,6704.1648,Item_65,3,23,11339.9622,Item_17,4,30,25651.2211,Heading_21,3,82,2898.7086,Item_10,3,7,2331.3582,Item_30,4,11,,,,,28950.4661,Item_30,3,81,52076.1123,Item_37,3,167,,,,,,,,
80,013_Resp_069.csv,69,Nandos_Menu_NewUnique_Subset3_2,,,,,17899.2501,Item_09,4,46,32156.699,Item_33,4,71,24028.6616,Item_61,3,46,14281.8944,Item_10,4,31,11617.89,Item_30,3,24,,,,,,,,,,,,,62148.2567,Item_19,4,103,160478.6359,Item_54,4,359
81,013_Resp_080.csv,80,Nandos_Menu_NewUnique_Subset3_2 (1),,,,,16487.1946,Item_65,3,37,11221.0269,Item_15,3,23,8122.6509,Visual_17,3,24,6836.0324,Item_10,4,8,3983.2009,Item_46,3,12,,,,,,,,,,,,,65642.582,Item_120,4,86,134325.4071,Item_03,3,175
82,014_Resp_005.csv,5,Nandos_Menu_Current_Subset1_2,53286.635,Item_26,4,131,5859.2224,Item_17,4,20,8255.2638,Item_17,4,23,59601.4521,Item_84,4,153,6246.9479,Item_10,4,19,8033.2094,Item_46,4,18,111714.612,Item_65,3,275,,,,,,,,,,,,,,,,
83,014_Resp_064.csv,64,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,50166.3021,Item_09,4,132,14048.5372,Item_17,4,41,13180.0611,Item_61,3,35,5261.0339,Item_10,4,16,4441.9822,Item_30,3,8,,,,,34341.5267,Visual_19,3,76,93254.236,Iterm_53,4,241,,,,,,,,
84,014_Resp_067.csv,67,Nandos_Menu_NewUnique_Subset3_2,,,,,19019.3977,Item_09,3,60,10510.2105,Item_15,4,30,31751.6122,Item_11,3,89,6025.5181,Item_47,4,13,4122.6855,Item_46,3,14,,,,,,,,,,,,,109103.2324,Item_26,4,151,143291.279,Item_32,4,335
85,015_Resp_065.csv,65,Nandos_Menu_NewUnique_Subset3_2,,,,,44166.3403,Item_09,4,115,15716.7884,Item_15,4,40,32341.0436,Item_42,4,85,7479.9106,Item_10,3,21,5802.6094,Item_46,4,19,,,,,,,,,,,,,25856.2229,Item_70,4,55,112569.8601,Item_00,4,277
86,015_Resp_066.csv,66,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,53522.7426,Item_09,3,153,12938.7477,Item_15,4,35,8868.0204,Heading_21,4,30,10577.1018,Item_47,3,26,7707.9418,Item_46,3,17,,,,,31955.7833,Heading_23,4,69,112394.3297,Item_32,4,240,,,,,,,,
87,016_Resp_057.csv,57,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,4507.6482,Item_09,4,10,22978.0816,Item_17,3,57,6108.0874,Heading_21,4,16,8943.9368,Item_47,4,20,3000.609,Item_30,4,5,,,,,35542.0217,Item_30,4,50,126392.4468,Item_24,4,249,,,,,,,,
88,016_Resp_063.csv,63,Nandos_Menu_NewUnique_Subset3_2,,,,,35962.3869,Item_65,3,99,9271.6259,Item_15,4,24,23601.6867,Heading_33,3,61,6003.4147,Item_10,4,14,3528.8856,Item_30,4,7,,,,,,,,,,,,,37703.6965,Item_30,4,68,123104.5367,Item_42,4,258
89,017_Resp_061.csv,61,Nandos_Menu_NewUnique_Subset3_2,,,,,13602.3897,Item_09,3,41,6119.4303,Item_15,4,13,8084.7626,Heading_33,3,19,3039.6132,Item_47,4,7,6660.3058,Item_46,4,16,,,,,,,,,,,,,7284.4679,Heading_25,4,12,51360.9896,Item_35,4,136
